0;1;2;3;4;5;6;7;8;9
001101000100000000;010000000010000000;110000000000100000;110000000000100000;101001011011110000;000000000001001000;000000000000100000;100000000010000100;100000000000100100;100101000010000000
000001100101001010;000000000001000000;100000100100000110;000001000010000000;000000000001001100;100000000000001100;100010000001000000;000000100010000000;000000000001000000;100000100000000100
111010100101111000;100000010110110010;000001000000000001;100100000010000000;101000000000101000;100000000000001100;111000000000000000;000000010000000010;000100000000000010;000010000010000000
100010010011001101;101000010000000000;000011000100100100;100000010000000100;100000000000100100;100010100000100000;100010000000010000;100000010010100000;100000000100001000;010001000000000000
100110110111100000;101010100001001010;000000111110111010;001000000100000000;101010100001000000;100000000000100010;100000100010000000;100101000110000000;100010000100000001;110100000000000000
100111100110011110;001000000100000000;100000100100001100;000000000000010001;101010000100101010;010101000100001000;110010000000000000;000010000010000000;100000000010110100;000001000100010100
010011010011011000;100000000000001001;001000000000100000;000000100000001000;000000000000001001;000011000000000000;111000101010000000;000001000001000000;001000000000000001;100010110000101100
011001100001101011;100000000010000010;101010110110111001;000000100000000010;000000001000000010;100000000001000000;000011000000000000;100010000011011000;000100000100000000;111000000000000000
011010011100100000;001000000001000000;011110010010111010;000100000100101000;100001000110001101;100010100000000000;000110000000000000;110000001000001000;000000000001001000;000000000000001010
001100010010001111;110111111100011000;100000000000000100;000000010000100000;101000000000001000;000000000100100000;100001000000000000;100000000010010000;010000000010100000;100010000001100000
100111101110101100;000100000001000000;100100000000100000;011110000010100110;100000000000011000;101100000000100000;100000000000010001;110000000001000000;100010000000001000;101000000000010000
111010010110101001;110000000000000010;000001000000110000;110000000000000001;000000000000100000;100000000010000100;100001000100100001;111000000000000000;100001000000000000;001000100000000000
111110111101011111;110010010110100101;100001000000000100;010000000100010010;000100000000100000;100110000000010100;001010000000000000;100101000000000000;001001000100100000;101000001100000001
101011111110100110;100000000000010100;000000000010000001;000100000100000000;010000100000000000;000000000100000100;010001000000000000;001010100000000100;100000100010011000;100000000000001100
